deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_liquidated_collateral_usd,total_liquidated_principal_usd,avg_time_gap,min_time_gap,burst_count,total_transactions,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,total_liquidatcall_usd,is_risky_actual,ML_score_0_1000,score_range
152,40,22,136,0,0.0,0.0,4658376.254285715,0,104,350,1.0949866178517558e+23,106444413450.25334,63097145841.3738,1.368480386907403e+23,0.0,1,0,"[0, 100)"
2,1,0,0,0,0.0,0.0,540541905.3333334,1508,0,3,5.036769692858948e+20,1.4630111631750026e+20,0.0,0.0,0.0,1,0,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.0147174318145307e+18,0.0,0.0,0.0,0.0,0,1000,
3,2,0,0,0,0.0,0.0,325238936.6,68,1,5,1.2470368617587311e+22,5507437817.200003,0.0,0.0,0.0,1,10,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1067024.2391386423,0.0,0.0,0.0,0.0,0,1000,
5,3,2,2,1,2.919477509721515e+21,2780454771.163348,124829171.84615384,26,5,13,1.9467509282512535e+22,5.203076839647205e+21,2768605195.4217715,3540492229.969,0.0,1,20,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1118392.2152500472,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1107253.6848753968,0.0,0.0,0.0,0.0,0,1000,
2,0,0,0,0,0.0,0.0,813465757.0,605199,0,2,2.0587133369415058e+18,0.0,0.0,0.0,0.0,0,1000,
22,7,13,9,0,0.0,0.0,31894695.43137255,26,6,51,9.538485544629498e+20,1.629441776230729e+20,1.5674724207430152e+19,2.4629411746772337e+20,0.0,1,650,"[600, 700)"
2,2,2,1,0,0.0,0.0,232488658.57142857,68,2,7,9.278363860814127e+20,1.8460329566352572e+20,198264401.11849716,1008297.4654261484,0.0,1,500,"[500, 600)"
2,1,1,1,0,0.0,0.0,325582498.0,2548,0,5,8.877155020020913e+20,283944465.2888209,283800942.1015542,284926978.86236095,0.0,0,860,"[800, 900)"
8,3,1,2,0,0.0,0.0,116238770.35714285,18,8,14,6.363202067126106e+20,1.8118350767997056e+20,8.884943779828407e+19,2.3238016223125943e+20,0.0,0,940,"[900, 1000)"
1,1,1,1,0,0.0,0.0,405185341.5,26,3,4,4.810943076605095e+21,5.00055488541656e+20,5.000594456675412e+20,4.811019218775008e+21,0.0,0,990,"[900, 1000)"
231,138,88,195,1,689915527.1678636,6.57062407398083e+20,2495263.9509954057,20,317,653,1.8570614362503316e+22,5.287991124510148e+21,8.234596936648338e+20,5.215755467741102e+20,0.0,1,20,"[0, 100)"
13,1,1,4,0,0.0,0.0,85523015.73684211,28,3,19,1.208186429857601e+21,9992601.606020905,10015696.753915792,8.087893313922497e+20,0.0,0,770,"[700, 800)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,49876.38277249572,0.0,0.0,0.0,0.0,0,1000,
13,2,2,5,0,0.0,0.0,73911231.22727273,82,1,22,6.793268374403373e+21,1202217960.684702,199896160.54190817,7.92616606773698e+20,0.0,1,690,"[600, 700)"
21,0,0,8,0,0.0,0.0,56198226.62068965,20,5,29,1.3315899005154913e+22,0.0,0.0,2.5809463813423535e+22,0.0,0,990,"[900, 1000)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,3.4084504707866244e+20,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.0769883855823712e+18,0.0,0.0,0.0,0.0,0,1000,
59,2,2,2,0,0.0,0.0,25085084.0,0,3,65,3.233565513810951e+19,7.245086722795268e+18,7.24508672079675e+18,1.0553975441722769e+18,0.0,0,590,"[500, 600)"
0,0,0,14265,0,0.0,0.0,113925.11230283912,0,8710,14265,0.0,0.0,0.0,1.2633099530541579e+25,0.0,0,940,"[900, 1000)"
1,1,0,0,0,0.0,0.0,810391983.5,0,1,2,4.036290748017526e+16,5425121973141837.0,0.0,0.0,0.0,1,0,"[0, 100)"
15,7,2,1,0,0.0,0.0,65180371.12,46,3,25,1.5812086411010284e+21,3.415849774296827e+19,175883941.91105908,249975472.90326297,0.0,1,180,"[100, 200)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1024737.8304881804,0.0,0.0,0.0,0.0,0,1000,
1,0,0,1,0,0.0,0.0,811966427.0,1191173,0,2,2.7311981445162104e+20,0.0,0.0,2.7088302869811603e+20,0.0,0,1000,
5,3,0,0,0,0.0,0.0,202991000.375,46,3,8,2.598704302378029e+20,1.0075076893283674e+20,0.0,0.0,0.0,1,0,"[0, 100)"
0,0,0,5,0,0.0,0.0,325175737.6,0,1,5,0.0,0.0,0.0,1.4421785198227436e+23,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,151358263.046448,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.6567195766221952e+17,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1064839.4218545295,0.0,0.0,0.0,0.0,0,1000,
33,21,12,19,0,0.0,0.0,19182416.447058823,0,26,85,3.3731456826268136e+22,1.8715010068859295e+22,1.5344190641775263e+21,6.916302168868189e+21,0.0,1,20,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,4.9081139663405754e+17,0.0,0.0,0.0,0.0,0,1000,
2,1,0,1,0,0.0,0.0,405806210.5,970,0,4,1007543365.1976922,400339394.3685618,0.0,505523822.10492975,0.0,1,30,"[0, 100)"
2,0,0,0,0,0.0,0.0,813392454.5,607963,0,2,9888204779574120.0,0.0,0.0,0.0,0.0,0,1000,
25,7,9,16,0,0.0,0.0,28603971.45614035,6,22,57,1.8387834097890532e+21,7.478342009924207e+20,7.484476726494513e+20,1.2736888815378416e+21,0.0,1,40,"[0, 100)"
3,10,8,11,0,0.0,0.0,50759990.90625,24,4,32,6.9110951940100335e+22,5.35351807394322e+21,47513776407.97755,3.146742574414728e+22,0.0,1,530,"[500, 600)"
5,0,0,1,0,0.0,0.0,271651523.5,187,0,6,4.0619679438260175e+20,0.0,0.0,497880789.5245089,0.0,0,990,"[900, 1000)"
3,0,0,1,0,0.0,0.0,407086626.75,66421,0,4,669079042.9664233,0.0,0.0,677021782.0833243,0.0,0,1000,
220,15,84,4,0,0.0,0.0,5047636.835913313,0,107,323,1.3813614138688318e+22,6057500625.95863,2142936956.3884277,3.045111685507278e+21,0.0,1,60,"[0, 100)"
2,0,0,0,0,0.0,0.0,813556654.5,866153,0,2,2.2622978388228032e+18,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1189056.608793713,0.0,0.0,0.0,0.0,0,1000,
1,1,1,1,0,0.0,0.0,404824855.5,0,3,4,1.4262940753920016e+21,456971773.8620283,456971773.8620283,1.4262940753920016e+21,0.0,0,1000,
0,0,0,5,0,0.0,0.0,324292155.2,0,3,5,0.0,0.0,0.0,2.745282855113601e+21,0.0,0,1000,
